"","precio","superficie","distrito","fecha","ciudad","tipo"
"68",472800,147,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"69",360000,79,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"70",390000,148,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"71",190000,112,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"72",437000,200,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"73",65000,43,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"74",310000,200,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"75",6e+05,54,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"76",1200000,750,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"77",272000,110,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"78",396900,133,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"79",225000,60,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"80",480000,170,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"81",87000,37,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"82",180000,100,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"83",720000,287,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"84",437000,198,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"85",592600,277,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"86",120000,86,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"87",566000,407,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"88",180000,66,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"89",1400000,480,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"90",171162,120,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"91",590000,300,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"92",525000,180,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"93",330000,150,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"94",190000,112,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"95",150000,84,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"96",360000,73,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"97",175000,311,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"98",6e+05,98,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
